Enzyme	Substrate	kcat (s⁻¹)	KM (mM)	pH optimum	Melting Temperature (°C)
Acinetobacter_sp_XMZ26	p-Nitrophenyl acetate (C2)	125.53	0.329	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl butyrate (C4)	101.46	0.199	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl caproate (C6)	79.56	0.139	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl caprylate (C8)	61.53	0.104	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl decanoate (C10)	48.39	0.090	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl laurate (C12)	38.73	0.082	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl myristate (C14)	32.05	0.075	7.6	48.7
Acinetobacter_sp_XMZ26	p-Nitrophenyl palmitate (C16)	26.89	0.067	7.6	48.7
Bacillus_stratosphericus	p-Nitrophenyl acetate (C2)	225.67	0.594	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl butyrate (C4)	185.38	0.372	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl caproate (C6)	121.64	0.224	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl caprylate (C8)	82.89	0.160	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl decanoate (C10)	65.16	0.135	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl laurate (C12)	59.57	0.131	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl myristate (C14)	59.86	0.136	7.9	52.2
Bacillus_stratosphericus	p-Nitrophenyl palmitate (C16)	62.36	0.147	7.9	52.2
Burkholderia_ubonensis	p-Nitrophenyl acetate (C2)	36.81	3.877	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl butyrate (C4)	37.92	2.845	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl caproate (C6)	33.73	2.354	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl caprylate (C8)	24.54	2.077	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl decanoate (C10)	19.72	2.203	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl laurate (C12)	17.45	2.623	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl myristate (C14)	15.84	3.090	8.9	54.7
Burkholderia_ubonensis	p-Nitrophenyl palmitate (C16)	15.19	3.535	8.9	54.7